Store,Dept,residual_std
10,27,265.9908437473364
10,28,101.02831273995704
10,29,593.2445421856356
10,30,491.28854035403083
10,31,427.59214004250896
10,32,1195.1685963169205
10,33,792.6353552686326
10,34,1402.3659846813543
10,35,506.43978753778896
10,36,499.33765043734724
10,37,178.84340126616797
10,38,3812.1250036392144
10,40,2349.2181268089407
10,41,640.4429215311147
10,42,311.3425405526918
10,44,371.3063978119009
10,45,26.63058383253628
10,46,1461.5342804072402
10,47,192.75403212738348
10,48,479.8009232866789
10,49,767.3064655852835
10,50,246.08704391197398
10,52,275.4762651509298
10,54,71.9594520850127
10,55,783.3751175886638
10,56,294.75190932447885
10,58,611.3988372146193
10,59,117.24138638166683
10,60,71.94853809282007
10,67,651.0465935907145
10,71,791.9216254900165
10,72,10910.60843812584
10,74,1146.828832429572
10,79,1819.575729934554
10,80,128.6768823220788
10,81,273.04176711934434
10,82,544.5672729677667
10,83,54.97943582471581
10,85,176.94751863437256
10,87,1005.0044414832092
10,90,203.158843439714
10,91,382.371602812962
10,92,674.4643952859142
10,93,100.02708184203595
10,94,319.8439728999097
10,95,1473.3176565190563
10,96,362.523938986015
10,97,199.02513955257794
10,98,163.09543706569312
11,1,479.6200602577937
11,2,614.0518424449164
11,3,725.6366461465262
11,4,458.494278746035
11,5,792.4811952602487
11,6,315.64220534967285
11,7,1450.5067563408134
11,8,429.60371820817295
